ntaname,boro_name,income_area
Borough Park,Brooklyn,Borough Park
Murray Hill,Queens,Flushing
East Elmhurst,Queens,Jackson Heights
Erasmus,Brooklyn,East Flatbush
Hollis,Queens,Jamaica/St. Albans
Homecrest,Brooklyn,Sheepshead Bay
Fresh Meadows-Utopia,Queens,Fresh Meadows/Briarwood
Longwood,Bronx,Hunts Point
Midwood,Brooklyn,Flatbush/Midwood
St. Albans,Queens,Jamaica/St. Albans
Clinton Hill,Brooklyn,Fort Greene/Brooklyn Hts
Pelham Bay-Country Club-City Island,Bronx,Throgs Neck
Cambria Heights,Queens,Queens Village
Starrett City,Brooklyn,East New York
Jamaica Estates-Holliswood,Queens,Fresh Meadows/Briarwood
Madison,Brooklyn,Sheepshead Bay
Kensington-Ocean Parkway,Brooklyn,Borough Park
Gravesend,Brooklyn,Coney Island
Bensonhurst East,Brooklyn,Bensonhurst
Williamsburg,Brooklyn,Williamsburg/Greenpoint
Bedford,Brooklyn,Bedford Stuyvesant
Stuyvesant Heights,Brooklyn,Bedford Stuyvesant
Gramercy,Manhattan,Murray Hill/Stuyvesant
Ocean Hill,Brooklyn,Brownsville
Crown Heights South,Brooklyn,Crown Heights South
Rugby-Remsen Village,Brooklyn,East Flatbush
Allerton-Pelham Gardens,Bronx,Pelham Parkway
East Flatbush-Farragut,Brooklyn,East Flatbush
Bushwick South,Brooklyn,Bushwick
Bushwick North,Brooklyn,Bushwick
Ridgewood,Queens,Ridgewood/Glendale
Ocean Parkway South,Brooklyn,Borough Park
Fort Greene,Brooklyn,Fort Greene/Brooklyn Hts
Queensbridge-Ravenswood-Long Island City,Queens,Astoria
West Farms-Bronx River,Bronx,East Tremont
Parkchester,Bronx,Unionport/Soundview
Soundview-Bruckner,Bronx,Unionport/Soundview
Glendale,Queens,Ridgewood/Glendale
Van Cortlandt Village,Bronx,Riverdale
Pomonok-Flushing Heights-Hillcrest,Queens,Fresh Meadows/Briarwood
Clinton,Manhattan,Chelsea/Clinton
Queens Village,Queens,Queens Village
Middle Village,Queens,Ridgewood/Glendale
Elmhurst,Queens,Elmhurst/Corona
East New York (Pennsylvania Ave),Brooklyn,East New York
Upper East Side-Carnegie Hill,Manhattan,Upper East Side
Woodlawn-Wakefield,Bronx,Williamsbridge
Bronxdale,Bronx,Pelham Parkway
South Ozone Park,Queens,Howard Beach
Bath Beach,Brooklyn,Bensonhurst
Bensonhurst West,Brooklyn,Bensonhurst
Maspeth,Queens,Ridgewood/Glendale
Arden Heights,Staten Island,Tottenville
Elmhurst-Maspeth,Queens,Sunnyside/Woodside
College Point,Queens,Flushing
North Side-South Side,Brooklyn,Williamsburg/Greenpoint
Rikers Island,Bronx,Astoria
Brownsville,Brooklyn,Brownsville
Schuylerville-Throgs Neck-Edgewater Park,Bronx,Throgs Neck
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,Tottenville
Battery Park City-Lower Manhattan,Manhattan,Battery Park/Tribeca
Lincoln Square,Manhattan,Upper West Side
Midtown-Midtown South,Manhattan,Midtown Business District
Prospect Lefferts Gardens-Wingate,Brooklyn,Crown Heights South
Highbridge,Bronx,Concourse/Highbridge
Seagate-Coney Island,Brooklyn,Coney Island
Windsor Terrace,Brooklyn,Sunset Park
Canarsie,Brooklyn,Canarsie
North Riverdale-Fieldston-Riverdale,Bronx,Riverdale
Spuyten Duyvil-Kingsbridge,Bronx,Riverdale
Flatbush,Brooklyn,Flatbush/Midwood
Flatlands,Brooklyn,Canarsie
Douglas Manor-Douglaston-Little Neck,Queens,Bayside
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,Unionport/Soundview
Brooklyn Heights-Cobble Hill,Brooklyn,Fort Greene/Brooklyn Hts
Park Slope-Gowanus,Brooklyn,Park Slope
