,ntaname,boro_name,count,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
0,Borough Park,Brooklyn,1,804830.0,800107.0,794346.0,792962.0,792549.0,792589.0,791801.0,790573.0,792553.0,794147.0,792330.0
1,Murray Hill,Queens,1,385161.0,384721.0,384396.0,383443.0,383618.0,383362.0,383960.0,384397.0,384940.0,386321.0,388206.0
2,East Elmhurst,Queens,1,660059.0,663453.0,665648.0,667851.0,669964.0,671708.0,672445.0,672120.0,672802.0,676621.0,681728.0
3,Erasmus,Brooklyn,2,583771.5,581603.5,578528.0,578563.5,580280.5,584362.5,586204.0,589292.0,592369.5,592750.5,592178.0
4,Hollis,Queens,1,554610.0,554907.0,555797.0,556189.0,557034.0,557172.0,558160.0,560169.0,562641.0,566751.0,568297.0
5,Homecrest,Brooklyn,1,466922.0,465258.0,461046.0,458023.0,455629.0,453952.0,449727.0,446202.0,444204.0,441861.0,439498.0
6,Fresh Meadows-Utopia,Queens,2,899699.5,899561.5,897967.0,893619.5,890875.0,886709.5,884524.0,880108.0,877002.5,874753.0,871890.5
7,Longwood,Bronx,1,357420.0,363632.0,369056.0,371127.0,374941.0,379046.0,384528.0,389711.0,393530.0,399630.0,406293.0
8,Midwood,Brooklyn,1,619772.0,618637.0,616965.0,615719.0,616133.0,616338.0,616457.0,615549.0,615870.0,617646.0,619085.0
9,St. Albans,Queens,1,522758.0,524472.0,525775.0,526581.0,527156.0,527504.0,528954.0,529913.0,531079.0,532542.0,532581.0
10,Clinton Hill,Brooklyn,1,840159.0,837474.0,842082.0,842921.0,841503.0,835861.0,826878.0,816734.0,807905.0,802166.0,795043.0
11,Pelham Bay-Country Club-City Island,Bronx,3,430267.66666666674,430454.33333333326,431135.0,429721.66666666674,429406.0,429702.33333333326,432114.0,435987.33333333326,439844.0,444073.66666666674,445336.0
12,Cambria Heights,Queens,1,504901.0,508226.0,511840.0,516563.0,520969.0,524885.0,527912.0,532115.0,534913.0,537620.0,538624.0
13,Starrett City,Brooklyn,1,466522.0,469786.0,473683.0,477718.0,481273.0,484068.0,487288.0,490425.0,494324.0,497910.0,502228.0
14,Jamaica Estates-Holliswood,Queens,2,564428.5,567444.0,571411.0,574490.5,576265.5,577342.5,578026.0,578252.0,579186.5,581835.0,583453.5
15,Madison,Brooklyn,3,655710.0,654836.0,653204.6666666665,653849.0,654922.6666666665,656969.3333333335,657841.3333333335,660879.3333333335,665044.3333333335,670728.0,674493.3333333335
16,Kensington-Ocean Parkway,Brooklyn,2,529696.5,527719.0,524929.0,524991.5,523966.0,523911.0,522122.5,520398.0,518100.5,513267.5,510792.5
17,Gravesend,Brooklyn,1,541572.0,541716.0,541355.0,541922.0,542968.0,544258.0,544914.0,544872.0,546841.0,550227.0,553961.0
18,Bensonhurst East,Brooklyn,1,611241.0,609647.0,607745.0,607572.0,606918.0,605936.0,604465.0,604138.0,606249.0,609753.0,612362.0
19,Williamsburg,Brooklyn,1,828408.0,829231.0,834288.0,837136.0,840353.0,840346.0,842261.0,845125.0,851529.0,859176.0,866360.0
20,Bedford,Brooklyn,1,806956.0,808933.0,813162.0,816222.0,818223.0,819325.0,820386.0,819766.0,821245.0,823928.0,825524.0
21,Stuyvesant Heights,Brooklyn,1,806956.0,808933.0,813162.0,816222.0,818223.0,819325.0,820386.0,819766.0,821245.0,823928.0,825524.0
22,Gramercy,Manhattan,1,818240.0,812907.0,803157.0,793522.0,788586.0,783531.0,781606.0,777060.0,775503.0,774208.0,768413.0
23,Ocean Hill,Brooklyn,1,476044.0,474225.0,473244.0,472140.0,472602.0,471969.0,472954.0,475057.0,478550.0,481690.0,482924.0
24,Crown Heights South,Brooklyn,1,749436.0,748113.0,748149.0,748324.0,748116.0,747032.0,748034.0,748155.0,750565.0,751340.0,753421.0
25,Rugby-Remsen Village,Brooklyn,1,562587.0,565510.0,566708.0,568343.0,570062.0,573447.0,575816.0,579917.0,583997.0,587364.0,588793.0
26,Allerton-Pelham Gardens,Bronx,1,537733.0,540029.0,541640.0,539893.0,540083.0,542066.0,547766.0,554508.0,561312.0,569224.0,574051.0
27,East Flatbush-Farragut,Brooklyn,1,562587.0,565510.0,566708.0,568343.0,570062.0,573447.0,575816.0,579917.0,583997.0,587364.0,588793.0
28,Bushwick South,Brooklyn,1,586239.0,589960.0,593205.0,596055.0,597842.0,599682.0,600170.0,597613.0,596895.0,595557.0,596124.0
29,Bushwick North,Brooklyn,1,586239.0,589960.0,593205.0,596055.0,597842.0,599682.0,600170.0,597613.0,596895.0,595557.0,596124.0
30,Ridgewood,Queens,1,580192.0,583964.0,586705.0,588209.0,589855.0,592249.0,593861.0,596869.0,599120.0,602142.0,604033.0
31,Ocean Parkway South,Brooklyn,1,804830.0,800107.0,794346.0,792962.0,792549.0,792589.0,791801.0,790573.0,792553.0,794147.0,792330.0
32,Fort Greene,Brooklyn,1,875871.0,870007.0,868564.0,866956.0,867474.0,866340.0,863652.0,858797.0,854440.0,853522.0,856194.0
33,Queensbridge-Ravenswood-Long Island City,Queens,1,537072.0,537927.0,538910.0,538589.0,539055.0,539317.0,540700.0,541584.0,542424.0,543350.0,545214.0
34,West Farms-Bronx River,Bronx,1,281475.0,284957.0,288395.0,289218.0,291070.0,294130.0,297807.0,301530.0,303484.0,306343.0,309411.0
35,Parkchester,Bronx,1,183682.0,185303.0,186640.0,186220.0,186519.0,187707.0,189468.0,190429.0,190564.0,191118.0,191098.0
36,Soundview-Bruckner,Bronx,1,339968.0,345540.0,352365.0,355413.0,355744.0,357049.0,361794.0,367570.0,372821.0,377400.0,380560.0
37,Glendale,Queens,1,658095.0,659728.0,660480.0,660367.0,660091.0,659894.0,660180.0,661703.0,663588.0,666700.0,668608.0
38,Van Cortlandt Village,Bronx,2,186957.0,186468.0,185214.5,183042.5,181743.0,181032.0,182077.0,182624.5,182967.5,182220.0,181621.0
39,Pomonok-Flushing Heights-Hillcrest,Queens,2,581660.0,583102.0,583807.5,583035.5,582308.5,580461.0,579358.5,578665.0,580771.5,583360.0,585904.5
40,Clinton,Manhattan,2,1117833.0,1114822.0,1112273.5,1112783.5,1116394.0,1117288.5,1114668.0,1106643.5,1100288.5,1096072.0,1090439.0
41,Queens Village,Queens,1,558650.0,560156.0,561435.0,561313.0,561485.0,561057.0,561854.0,563566.0,564661.0,566028.0,564548.0
42,Middle Village,Queens,1,744447.0,744609.0,745153.0,744625.0,745057.0,743854.0,744037.0,745543.0,747939.0,751733.0,753422.0
43,Elmhurst,Queens,1,364271.0,363632.0,362518.0,361380.0,360149.0,358597.0,357238.0,357476.0,358557.0,361052.0,363456.0
44,East New York (Pennsylvania Ave),Brooklyn,1,466522.0,469786.0,473683.0,477718.0,481273.0,484068.0,487288.0,490425.0,494324.0,497910.0,502228.0
45,Upper East Side-Carnegie Hill,Manhattan,2,1355192.5,1363122.0,1372996.0,1379463.5,1380896.0,1379664.5,1379550.0,1386972.0,1399888.0,1415611.5,1429303.5
